Visual Apparent Magnitude,Distance,Distance Error,BV,Spectral Type
7.22,3.79,0.69,0.26,B9IV
8.2,9.7,1.0,0.441,F2
8.65,5.54,1.67,0.119,
6.88,6.49,1.22,0.100,A3
7.68,4.96,0.91,1.334,K2III
9.34,8.50,1.43,0.667,
8.83,56.43,1.31,1.253,K5
8.18,7.88,1.1,0.808,G5
5.28,24.75,0.68,0.383,F4IV
8.3,10.76,0.87,0.420,F3V
6.87,6.45,0.65,1.70,K0
9.15,8.39,1.47,0.654,K0V
4.94,6.64,0.45,0.51,A0III
7.0,7.1,0.90,1.545,K4III
7.64,1.23,0.78,0.934,G6III
9.60,5.35,1.68,0.691,
7.92,4.74,1.0,1.208,K1III
8.30,16.93,1.12,0.704,G5V
7.30,5.31,0.78,1.20,K0
8.9,4.16,1.8,0.101,A0
8.65,9.84,1.15,0.548,F7V
9.53,3.43,1.39,3.430,C7I
8.88,4.13,0.91,0.364,A3
8.40,1.64,1.16,0.7,
9.21,3.90,1.24,0.410,F0
9.69,9.83,1.30,0.667,
10.20,6.14,2.13,0.519,F2
9.87,13.90,1.60,0.750,G5
8.6,2.83,0.80,0.922,G5
8.82,7.5,1.42,0.518,G0
8.53,3.81,0.73,0.321,F0
9.90,4.75,0.94,0.470,F8
8.62,2.67,1.40,1.40,G8IV
9.16,0.70,1.23,1.336,K0
5.79,10.22,0.83,1.104,
6.97,8.28,1.3,0.189,A1m
8.39,1.25,1.8,0.22,B8Vn
5.67,4.80,0.72,0.8,B9III
8.86,2.33,0.74,0.891,K0
7.19,14.69,1.23,0.441,F5V
7.72,4.8,0.90,0.26,
11.30,10.30,4.97,0.735,G
7.69,18.85,1.3,0.560,G1V
8.97,6.3,1.21,0.494,F8
6.45,4.73,0.54,1.517,M0
8.70,34.17,1.23,0.980,K3V
7.33,1.99,0.97,0.986,K0
7.51,13.33,0.93,0.408,F2V
4.90,82.61,0.57,0.555,F9V
6.89,16.87,0.96,0.950,
9.65,0.46,1.56,1.450,K2
8.10,4.98,0.67,1.45,K0
7.24,5.78,0.77,0.119,A2
9.44,3.96,2.3,0.461,G5
8.79,1.43,0.95,0.840,F8
5.41,7.72,0.87,1.461,K4IIIp
8.74,2.23,1.74,1.778,K5
6.93,3.95,0.95,0.987,K0
8.82,11.24,1.22,0.576,G0Vw
9.12,1.63,0.83,0.987,K0
10.50,-1.33,2.9,0.114,
9.50,3.98,1.88,0.710,A9V
8.81,21.50,1.27,0.770,G9V
9.15,6.9,1.37,0.389,F2
8.95,4.89,1.42,1.568,G8III
7.25,3.25,0.87,0.918,G5IV
4.83,9.3,0.61,1.289,
9.49,6.1,1.5,0.433,F2
12.30,26.14,3.73,,
8.82,1.62,1.14,0.405,
6.46,10.89,1.4,1.378,K5
7.67,4.82,0.63,0.956,K0
6.31,8.33,0.52,1.52,G9III
9.8,8.53,1.19,0.546,F3V
7.18,6.41,0.88,0.269,
7.55,9.0,1.6,0.218,F0
7.89,0.79,1.19,1.799,M3III
10.2,4.5,2.42,0.743,G0
9.15,1.59,1.30,0.970,G8IV
8.58,4.76,1.22,1.827,K5
7.70,3.85,1.2,1.81,K0
6.49,21.55,1.18,0.410,F2V
9.27,3.64,1.37,0.300,A3
7.32,2.19,1.0,0.134,B2Ve
8.58,13.40,1.31,0.531,G5
10.90,0.73,1.58,1.538,M
8.64,6.10,1.8,0.537,F5
6.98,51.20,1.49,0.848,K2V
8.23,1.41,1.12,1.302,
9.17,2.83,1.16,1.577,K5
10.42,4.78,2.86,0.581,G0
8.44,0.79,0.77,1.195,K0
8.23,2.91,0.72,1.32,K0
8.54,9.80,1.3,0.502,F5V
9.18,3.7,1.41,1.657,G8
8.95,5.38,1.20,0.504,F5IV
7.50,5.76,0.88,0.964,K0
9.97,7.33,1.82,0.751,G8V
7.57,15.25,1.5,0.725,K0III+
8.67,2.9,0.81,1.442,K
7.68,16.22,0.61,0.585,G0
8.75,3.2,1.33,1.77,K2
9.22,0.18,1.24,0.245,A2m
9.23,12.27,0.93,0.690,G6V
8.34,20.0,0.68,0.639,G0
8.12,11.33,0.67,0.475,F5
10.61,-1.28,2.6,0.678,F5
8.65,4.16,1.24,0.245,B9
9.19,3.62,1.42,1.536,K0III
11.18,2.34,3.97,0.575,F8
7.93,0.49,0.79,1.527,K5
10.12,1.16,1.27,1.517,M0
8.65,2.21,1.38,1.574,K3III
10.7,29.98,1.74,1.222,K8
7.25,7.29,0.76,0.451,
9.60,12.80,1.50,0.689,G5V
9.84,8.56,1.2,0.622,
9.73,-1.80,1.55,0.729,O9.5Ia
8.30,9.75,1.17,0.528,F5V
8.95,7.52,1.39,0.430,
9.77,10.34,1.52,0.794,G8V
9.28,12.25,1.57,0.522,G0V
9.84,2.73,1.98,1.210,G5
7.82,3.38,0.66,0.203,F0
8.89,5.38,1.1,0.722,G5
1.6,5.40,1.68,1.865,
8.4,7.47,1.1,0.508,F5IV
9.46,12.2,16.34,0.622,
7.60,5.54,1.84,0.930,G5III
9.60,8.95,7.85,0.460,G5
7.9,6.18,0.99,1.563,
10.40,0.59,1.75,1.560,R
7.51,10.18,1.9,0.479,F5V
10.40,6.1,2.24,0.615,F2
8.43,2.5,1.32,1.41,
8.99,1.17,1.33,1.625,M0
8.22,4.24,0.65,0.564,G0
8.32,3.63,0.74,1.167,K2
9.96,7.78,4.79,0.512,F0
7.72,5.30,1.8,0.971,G5
9.82,2.89,1.49,0.365,B9III
9.80,12.81,5.81,0.665,G3V
10.37,0.99,2.29,0.522,F8
10.74,13.89,1.61,0.800,K2
5.35,2.73,0.94,0.488,
8.3,5.36,1.13,0.958,K0
7.93,18.58,1.18,0.664,G5V
9.9,0.11,1.33,1.43,K0
10.18,7.43,2.22,0.542,F2
7.44,6.59,0.68,1.65,K0
6.9,2.13,0.78,1.459,G8Ib
10.24,11.80,1.53,0.578,G2
8.8,0.9,1.22,1.440,
6.85,4.42,0.96,1.128,K0
8.70,2.97,1.38,0.351,B9IV
5.66,12.18,1.1,0.823,
10.91,14.47,2.56,,
6.90,5.75,0.89,0.167,B9
11.3,,,,
6.90,7.49,0.98,0.428,F5
8.65,4.9,1.23,0.995,K0
7.82,8.90,0.96,0.169,A2V
7.35,3.22,0.71,1.273,K2III
10.14,8.33,1.12,0.630,F8
9.48,1.79,0.93,1.142,M7IIIe
9.3,2.98,3.15,0.309,F5
7.34,6.24,0.97,0.236,B9V
8.2,13.2,1.46,0.575,F8
8.26,4.85,1.1,0.675,G5
8.22,8.56,0.81,0.363,F5
8.4,3.25,0.81,1.138,K2
6.44,9.0,0.54,0.26,A1V
9.81,7.14,2.3,0.500,F8V
8.66,3.86,1.19,0.390,
9.21,11.66,0.91,0.600,G
8.44,3.14,1.11,0.480,A9V
7.47,9.53,0.94,0.349,A3
4.79,8.30,0.84,0.116,B3V
2.78,22.7,1.0,0.947,G8III
12.27,45.35,5.6,1.474,
6.98,19.70,0.56,0.582,G0V
6.89,5.99,0.87,0.78,B8V
7.8,2.92,0.97,0.21,B8III
9.31,9.63,1.24,0.567,G2V
9.6,3.25,1.23,0.672,F8
10.2,3.92,1.76,0.720,F8
10.10,234.51,1.82,1.604,M4
11.23,-3.4,4.53,0.370,A5
9.67,3.11,1.58,0.930,K0
7.88,11.12,1.0,0.584,G0
9.40,8.32,1.41,0.538,F5
7.72,1.67,1.12,0.289,B0Ia
7.87,3.86,1.9,1.879,
7.47,18.31,0.96,0.609,G0
9.41,6.72,2.18,0.398,A9V
8.81,5.76,1.34,0.570,F0
8.67,4.46,0.76,0.476,G0
8.86,5.75,0.79,0.479,F5
8.12,5.28,0.65,0.356,F0
7.27,24.34,0.90,0.545,F8V
8.15,12.68,0.79,0.611,G0
6.97,6.66,0.68,0.990,K0
6.46,1.74,0.80,0.371,A7Ib
10.70,5.12,1.93,0.740,
8.72,13.14,2.82,0.668,
5.24,4.30,0.67,1.274,G8p
8.64,12.53,1.39,0.546,F7V
9.48,5.2,1.33,0.467,A5
7.79,3.91,0.96,1.663,K3III
7.65,4.56,1.22,0.724,G5
8.81,0.97,1.17,1.495,K5
9.88,9.20,2.0,0.676,G5V
6.35,8.0,0.58,0.995,K1III
10.26,6.27,1.78,0.559,
8.15,3.51,0.77,1.486,
10.76,0.47,1.82,0.215,A8.2
8.68,4.96,1.17,1.78,K2
7.93,12.36,0.95,0.424,F2
10.11,5.23,1.71,0.848,K0
9.22,11.29,1.52,0.662,
8.31,2.47,0.92,0.0,B9III
7.78,8.76,1.3,0.307,
7.62,7.30,0.87,0.403,
8.44,10.48,0.85,0.536,G0
9.31,7.58,2.22,0.680,F8
10.35,4.45,1.20,0.826,K0
8.73,7.66,1.45,0.593,F8
8.31,3.68,0.76,0.22,
9.11,4.41,1.7,1.350,K5
8.52,2.50,1.1,1.337,K0
10.10,12.47,9.26,1.45,
10.19,16.33,7.72,1.25,K4V+
8.92,3.73,1.16,0.354,A2
9.25,4.94,1.69,0.990,K0
8.59,2.68,2.79,1.0,G5
8.61,5.4,1.42,1.230,K0
5.19,4.87,0.65,1.236,
8.89,4.5,1.34,1.698,
12.7,25.16,8.42,1.430,M
9.33,2.58,1.79,1.912,K5III
10.94,16.44,2.82,1.140,
8.76,1.12,1.40,1.700,K0
10.95,,,,
8.68,1.90,1.11,1.576,M0
9.95,10.56,1.76,0.578,F8V
3.82,19.63,1.34,0.22,A2V
7.17,12.26,1.70,0.573,F5
7.98,5.25,1.78,0.480,F5
8.59,13.45,1.8,0.509,F8
8.64,-1.10,1.15,0.98,B0.5Ia
6.25,3.26,0.74,1.640,K5
10.74,24.42,2.15,1.165,K5V
8.48,0.43,1.36,1.573,K3III
7.88,8.15,0.97,0.140,A0
7.93,2.96,0.74,1.367,K5
9.65,1.1,1.7,1.330,K2
4.29,15.53,0.77,0.924,
6.94,4.45,1.4,0.962,G8III
8.53,6.7,1.33,0.433,F3V
8.56,7.30,1.33,0.280,A0V
5.76,3.52,0.67,1.605,K5III
10.0,5.92,1.56,0.490,F8
8.4,5.71,1.10,0.466,F5
8.41,1.18,0.73,1.279,K0
7.1,36.73,0.56,0.607,G0
10.52,6.51,1.91,0.339,
7.32,9.59,1.1,0.497,F2
8.72,1.84,1.27,1.75,K0
7.73,3.10,0.66,1.400,K5
6.79,4.14,0.98,1.390,K0
8.72,5.20,1.23,0.643,F3V
9.27,3.38,1.31,0.207,A2
6.7,14.48,0.82,1.85,K1III
4.24,4.37,0.80,0.168,
7.54,6.23,1.4,1.169,K2
7.95,1.48,0.96,0.93,B8II
8.72,2.65,1.46,1.696,K3III
8.28,2.38,1.12,1.78,K0
8.91,0.60,2.32,0.69,
7.97,2.27,1.10,1.9,G8II
10.28,12.55,7.69,,
9.30,3.2,1.50,0.554,F3V
6.27,7.45,0.61,1.291,K2III
10.31,7.74,2.15,0.475,F8
9.44,4.49,1.95,1.185,G5
9.60,2.94,1.23,0.200,A3
9.88,6.33,1.85,0.652,
7.24,40.60,1.75,0.858,K0V
7.9,8.60,0.65,0.103,A0
9.80,5.31,1.63,0.549,F6V
6.97,12.36,0.93,0.904,G5
7.67,4.20,0.74,1.47,K0
8.90,14.42,1.28,0.738,K0
13.12,9.89,10.9,,
9.36,6.69,2.48,0.300,
8.26,12.86,1.14,0.602,G5
8.28,6.6,1.11,0.331,A5
9.1,5.49,1.70,0.483,F5V
8.52,20.62,1.21,0.760,G
8.53,5.19,1.25,1.154,G8IV
9.39,2.98,1.43,1.567,
7.50,12.18,1.62,0.357,A3
8.4,4.83,1.9,0.150,
8.1,3.16,0.88,1.130,K2II
8.93,3.42,1.42,1.622,
7.76,8.79,0.95,0.255,
8.68,1.86,0.97,1.182,
5.31,0.38,0.88,0.299,B1Ia
8.23,7.32,0.61,0.448,F5
10.15,-1.17,1.75,0.412,F0V
6.61,2.81,0.75,0.42,B9III
8.39,5.60,1.39,0.628,F5
8.83,3.60,1.67,0.150,
9.57,6.90,1.56,0.569,G0V
8.60,7.74,1.35,0.458,A5
5.61,14.48,0.58,0.125,A4Vn
7.41,5.53,1.71,0.180,A0
8.65,7.81,1.18,0.784,G6V
7.85,5.12,1.40,1.373,K2
7.24,4.36,1.65,0.23,
9.73,9.87,1.28,0.552,F8
8.25,8.60,1.33,0.563,F6V
7.73,3.48,0.99,0.979,G8III
8.69,2.50,0.71,0.443,G0
9.66,4.92,1.58,0.339,A2m
7.77,13.88,0.62,0.478,F5
6.51,11.11,0.91,0.429,F2
7.61,2.77,0.98,1.837,M1III
7.95,8.85,0.67,1.53,K0
9.7,1.87,1.25,0.965,K0
7.28,11.85,1.2,0.496,F5
9.6,4.17,1.33,1.93,M0
8.55,3.29,1.28,0.840,G5IVw
7.29,6.35,0.98,0.236,A2
9.56,14.49,6.0,0.797,
8.81,4.48,1.37,1.683,K5III
6.98,6.85,0.87,0.140,A0V
4.45,18.66,0.71,0.130,Ap
8.6,2.25,1.17,0.764,
9.58,8.59,1.58,0.462,F6V
8.47,1.79,1.9,1.731,M2III
10.64,2.73,6.46,0.397,F0
8.78,1.96,1.51,1.297,K2III
11.28,18.27,2.98,1.160,
8.89,13.9,1.20,0.636,G2V
8.67,0.15,1.5,0.3,B7V
8.17,13.78,0.86,0.649,G2V
7.76,7.66,0.86,0.134,A0
7.41,3.3,0.87,1.425,K0
8.65,13.32,1.7,0.559,G3V
9.78,9.62,1.75,0.529,
10.40,1.9,2.15,0.580,F0
5.92,9.72,0.54,0.39,A2V
9.65,1.48,0.94,0.341,
8.30,2.50,1.17,1.429,K1III
7.72,2.74,0.96,1.525,K5III
7.51,8.75,0.95,0.251,A5
9.72,4.39,1.87,1.162,K2
7.91,3.71,0.71,0.392,F3IVp
8.18,8.73,1.18,0.617,F8
9.31,9.30,0.91,0.742,K0
10.19,5.5,1.84,0.811,F8V
8.5,2.49,1.9,1.391,K5
7.30,3.6,1.44,0.803,G5
9.20,0.8,1.59,1.500,K5
8.67,7.6,2.38,0.447,F8
9.68,5.68,1.47,0.839,F2V
8.37,7.79,1.8,1.11,K1III+
7.78,6.94,0.99,0.142,A0V
5.63,10.12,0.94,0.44,
4.84,10.29,0.87,1.495,K4III
9.6,13.29,1.55,0.705,K1:V:+
7.2,24.20,1.6,0.543,F8V
9.7,12.11,1.24,0.560,G0
9.70,1.66,1.39,,
8.90,10.13,1.26,0.440,F5
8.67,0.96,0.92,1.147,
9.12,3.4,1.7,0.405,F2
7.36,10.97,0.54,0.332,Am
8.76,5.91,0.71,0.884,G5
12.13,61.8,5.13,1.470,K
10.19,-10.63,24.56,0.514,G5
10.28,3.5,2.7,1.630,K5V
9.83,6.26,3.9,0.708,G6V
7.89,15.75,1.7,0.680,G0
8.82,23.49,1.30,0.868,K0
7.73,2.29,1.4,1.107,G8III
8.83,3.38,1.90,1.668,K2III
11.46,0.32,2.10,1.294,
6.84,10.82,0.83,0.279,A5
6.82,6.84,0.53,0.912,G5
8.75,13.15,1.54,0.563,F7V
10.60,32.4,2.53,1.344,M0
8.26,4.2,0.96,0.19,B9III
9.19,2.74,1.26,0.292,A5
7.64,6.39,1.8,1.147,G5
9.38,9.93,1.76,1.169,
8.67,1.83,2.24,1.113,K0
9.90,1.85,1.53,1.222,K0
8.24,13.2,3.72,0.538,
9.29,2.85,0.80,0.920,K0
7.90,7.14,2.30,0.238,A3III
9.2,10.24,1.30,0.680,G0
7.37,21.80,0.90,0.573,G0V
7.68,4.22,0.74,0.264,A2m
7.66,4.77,0.90,1.230,K0
8.73,13.3,1.35,0.589,G2IVp
8.62,5.29,1.75,0.481,
10.18,16.70,1.94,0.789,G5
7.63,9.95,1.6,0.980,G8IV
7.77,8.80,0.99,0.413,F2
8.72,8.88,1.20,0.474,F2
8.16,4.23,1.7,1.140,G8III
10.41,13.93,1.13,0.820,K0
9.10,2.95,1.49,1.269,G5
8.53,8.19,0.83,0.432,F5
7.86,4.35,1.9,0.987,G8III
9.16,6.63,1.49,0.614,G0V
9.47,6.32,2.4,0.533,F8
9.69,2.68,1.2,1.644,M0
9.74,5.46,1.35,0.514,G5
8.82,7.14,1.16,0.514,G5
7.71,5.91,0.63,0.56,A0
8.32,18.75,1.9,0.582,F8
7.24,19.3,0.99,0.533,F5
10.7,12.9,2.1,0.601,
8.0,6.37,1.56,0.341,F0V
3.86,20.44,0.53,0.923,
6.87,6.63,0.70,0.242,F0III
8.74,5.7,1.46,2.30,M1III
8.23,13.83,1.14,0.461,F5
7.41,3.39,1.0,1.973,M1III
8.45,19.40,1.25,1.190,
10.50,0.1,2.27,0.210,
8.47,9.14,0.78,0.478,F5
6.74,11.31,0.80,0.243,A3
7.96,4.85,0.95,1.61,K0III
8.72,6.50,1.17,0.599,G0V
8.96,3.73,1.56,0.909,F9
6.94,7.98,0.84,1.43,K0III
9.25,1.88,1.41,0.620,
6.59,8.17,0.89,0.883,G6III
10.87,7.20,2.3,0.345,F0
8.7,5.55,1.6,0.173,A2
7.97,2.17,1.10,0.106,A0V
7.47,6.38,1.52,0.213,A5IV
11.30,31.32,2.61,1.439,
6.59,17.74,0.61,0.442,F5
8.70,3.1,0.69,0.881,K0
9.96,4.9,1.11,0.908,G5
9.53,12.29,1.53,0.749,
7.73,4.13,0.93,1.112,K0
8.85,2.90,0.72,0.581,G5
7.71,4.35,0.64,1.47,K0
7.76,4.84,1.2,0.427,Fm
9.56,2.76,1.28,0.443,A6m
9.7,14.61,1.27,0.650,G1V
6.92,6.76,0.88,1.127,K0
7.50,0.75,1.65,1.819,K3III
8.61,8.15,1.6,0.703,G6V
7.74,8.99,1.23,1.216,K0III
7.71,2.41,1.3,0.944,F8IV
6.73,0.61,1.31,0.316,O6e
8.72,3.33,1.10,0.768,G5
8.82,2.72,0.78,1.82,K0
7.13,1.76,0.55,1.396,K0
8.20,9.32,1.42,0.491,F5
8.22,3.8,1.30,1.229,K0
9.19,8.45,1.32,0.730,G5V
8.61,4.17,1.4,1.26,G8III
9.92,2.60,0.89,1.70,K0
9.58,12.27,2.31,0.668,
9.56,12.41,1.43,0.703,G5
8.52,5.19,1.28,0.886,G8IV
8.18,0.52,1.24,1.225,K0
6.84,4.11,0.58,1.11,K0
9.81,9.38,1.78,0.527,F7V
8.73,9.90,0.87,0.414,G5
7.71,9.32,1.7,0.259,A2
9.0,3.14,3.36,1.251,K0III
9.93,0.35,1.60,0.80,B9
7.80,3.11,0.98,1.512,K3III
8.77,8.24,0.88,0.449,F6IV
8.68,2.72,1.86,0.66,B9V
4.86,0.70,0.73,0.45,B0Ia
10.26,2.90,2.38,0.639,F8
9.69,1.42,1.57,1.36,F8
6.92,1.65,1.28,0.264,A7III
4.20,10.79,0.61,0.13,B9Vvar
8.49,2.56,1.26,1.436,K2III
9.41,1.4,1.34,1.581,M0
7.94,10.91,0.98,0.891,K0
10.62,5.14,2.15,1.568,M0
7.97,4.65,0.79,1.165,K0
7.91,5.77,0.62,0.900,G5
8.35,5.25,1.13,0.626,F5V
10.12,2.22,6.22,0.57,B9V
9.38,4.96,0.85,0.863,K0
7.47,5.5,1.3,0.746,
7.84,3.22,1.76,1.402,K3III
8.21,4.29,1.11,1.144,K0III
9.92,31.94,0.97,1.120,K5
11.34,8.78,6.60,0.848,
5.50,3.46,0.61,1.235,
9.14,1.33,1.34,1.171,K5
8.82,6.58,1.22,0.830,
7.39,0.37,1.5,0.782,A0Ia
8.94,13.7,1.29,0.280,B5
8.94,6.0,0.94,0.534,K0
9.98,1.53,1.88,0.317,Asp
9.69,0.36,1.59,0.393,F2V
10.92,0.66,2.73,0.700,B+
6.85,7.11,0.89,1.106,K0
9.5,1.5,0.94,1.196,K0
8.76,3.39,1.27,0.496,G0
7.75,0.16,1.12,0.17,
9.19,8.89,1.25,0.529,
8.12,2.42,0.95,1.111,K0III
7.93,2.54,0.72,1.73,G5
9.70,2.40,1.61,0.760,G2IV
9.94,3.53,1.2,0.990,G5
7.64,3.12,1.13,1.687,K2
8.88,8.82,0.88,0.417,F5
10.0,4.96,3.36,0.319,F0
7.61,7.29,0.59,1.256,K2
9.55,0.76,1.45,0.526,A9V
8.77,3.64,2.35,1.306,K2III
11.53,25.44,3.27,1.463,M0
9.23,11.85,1.54,0.589,G1V
7.59,5.72,0.62,0.962,K0
7.34,3.3,0.81,0.90,B6III
9.49,3.84,1.55,1.716,K3III
9.60,20.71,1.50,0.736,G5V
8.74,8.67,1.18,0.410,F2V
7.42,1.59,1.8,0.443,A0Ib
8.87,1.72,1.46,1.634,
8.11,12.32,1.16,0.528,F6V
10.1,4.54,2.68,0.627,G0
9.65,17.79,1.80,0.926,K1III
8.2,20.62,1.9,0.706,K0
8.50,0.66,0.73,1.190,K0
8.83,12.30,1.21,0.664,G3V
7.97,1.80,1.45,0.42,B9IV
10.59,21.73,2.26,0.950,
11.5,5.36,5.74,0.740,
8.15,5.33,1.3,0.503,F5V
10.54,5.82,2.58,0.421,F0
8.94,6.73,1.31,0.500,F5
9.36,26.61,0.93,0.926,K0
8.56,1.65,0.71,1.446,K2
7.23,3.52,0.56,1.500,
8.22,6.65,1.13,0.184,A3
9.24,6.62,1.49,0.757,
7.88,8.6,0.77,0.449,F8
9.65,0.97,1.69,0.490,F2
8.52,14.38,1.2,0.505,F6V
9.51,13.86,2.48,0.500,
8.62,8.42,0.70,0.400,F0
8.68,5.78,1.7,0.724,G5
8.42,13.32,1.21,0.822,G8IV
6.43,5.31,0.94,1.346,
8.98,5.66,1.37,0.980,G8III
11.4,26.78,1.75,1.367,M0
9.26,0.64,1.51,0.11,
8.86,9.52,0.92,0.556,G5
9.64,0.64,1.52,0.386,B3
9.63,1.75,1.8,1.56,K2
8.37,5.96,1.22,0.205,A0
9.33,11.66,1.62,0.770,G5
9.31,1.47,1.1,1.606,M0
6.63,7.32,0.85,0.49,B9V
10.81,2.11,3.40,0.730,K0
8.58,12.36,0.83,0.666,G5
8.52,0.73,2.14,0.148,
8.23,6.1,0.70,0.435,F5
8.35,3.90,1.14,0.151,B3V
8.42,3.86,0.67,0.264,A2
9.10,17.8,1.41,0.763,K0
7.20,1.68,0.95,0.67,B3V:n
8.6,13.4,1.14,0.512,F8
8.98,8.86,1.45,0.714,G5
6.89,10.87,0.59,0.639,F8
8.71,5.33,1.19,0.474,A1V
8.97,0.90,1.68,1.255,G8II
8.64,3.42,0.93,1.54,K5
9.10,15.36,1.39,0.605,G5
9.10,6.23,1.33,0.486,G5
8.45,11.85,1.30,0.700,G0
8.7,0.76,1.5,1.54,K0III+
9.3,0.7,2.11,0.264,
8.88,2.66,0.80,0.923,K0
8.56,13.30,1.75,0.653,G3V
7.27,6.55,0.96,0.88,A5
6.42,6.17,0.87,0.62,A2V
8.56,3.69,1.5,1.69,K2
8.57,2.43,1.26,0.505,F2V
9.4,1.60,1.34,1.51,K0
8.84,10.4,1.16,0.507,F6V
9.20,0.63,1.35,0.164,
8.74,25.32,1.15,0.749,K0V
11.83,1.80,2.4,,7
9.75,1.76,1.0,1.69,K5
8.86,11.16,1.29,0.631,
8.91,3.92,0.94,1.97,K0
9.26,6.56,1.53,0.615,G0
8.64,0.15,1.23,1.653,M0
10.1,2.74,1.9,1.561,M0
8.68,0.78,1.15,1.537,M0
8.33,1.87,1.13,0.384,F2
9.10,3.50,1.23,0.284,A3
7.43,10.62,0.65,0.208,A3
8.71,3.70,1.16,0.950,
8.59,10.76,0.90,0.528,G0
10.58,12.77,1.90,0.660,
5.50,9.94,0.66,0.949,
8.46,7.55,1.2,0.435,F8
8.33,1.47,1.11,0.945,
8.38,0.2,1.26,0.38,B2IV
9.44,2.73,1.61,0.499,B1:Ve
9.39,4.20,4.79,1.409,K5
11.30,0.9,3.28,0.130,B7V
6.52,6.78,0.65,0.24,A0V
9.5,4.18,0.98,1.340,K5
7.95,11.14,0.78,0.983,K0
8.78,44.77,1.40,1.96,K4V
9.18,3.79,1.53,0.50,A0
8.9,8.75,1.28,0.630,G1V
8.75,4.11,1.32,1.324,K2III
2.82,7.59,0.78,0.206,B0V
8.58,9.50,1.7,0.485,F7V
8.30,1.59,1.15,0.129,
8.51,17.78,1.25,0.704,
7.79,8.85,0.64,0.438,F2
8.31,2.11,1.15,1.54,K0
9.5,0.15,0.91,0.534,F8v
8.21,16.1,1.9,0.561,G0
8.76,8.80,1.27,0.531,F8:Vw
8.43,0.84,1.84,1.304,K2III
11.24,2.22,1.48,0.360,sdF3
8.69,6.20,1.8,0.517,F7V
7.98,6.4,1.6,0.969,G6III
7.25,19.32,1.0,0.523,F5
9.35,3.14,1.49,1.121,G6V
7.34,0.39,1.29,0.10,
9.81,7.0,1.3,0.521,F8
9.26,1.66,0.79,1.122,K0
7.95,3.75,0.69,0.947,K0
7.85,3.65,1.1,0.394,F2
9.50,1.56,1.48,1.180,K0
9.99,6.94,1.57,0.693,G6V+
8.99,32.73,0.83,0.825,K0
5.83,3.71,0.51,1.44,G8II
5.53,8.16,0.55,0.60,B9.5Vn
8.28,0.33,1.1,1.606,M0
5.7,8.22,0.60,0.27,B9V
10.35,25.54,2.27,0.949,
8.55,2.25,0.79,1.338,G5
9.83,11.12,1.47,0.708,
9.32,2.82,1.0,1.98,K0
9.82,6.85,3.94,0.714,G3V
8.9,5.46,0.95,0.203,A0
8.85,2.3,1.0,1.187,K1III
5.77,102.27,0.85,0.827,K2V
9.21,6.41,1.63,0.445,
10.6,5.21,1.70,0.924,F5
6.95,9.66,0.66,1.89,K0
4.18,9.63,0.79,1.535,K5III
5.46,1.7,0.89,0.338,O9Ia
8.2,8.12,1.36,1.283,K0III
8.48,2.91,0.72,0.923,K0
8.95,0.21,1.77,0.500,B9IV
8.56,3.13,1.12,1.251,K2III
9.87,-2.4,6.69,1.500,Md
8.1,6.53,1.31,1.400,K3III
7.10,25.37,0.72,0.555,F8V
8.6,3.63,1.19,0.983,G8III
9.6,5.32,1.29,1.202,G5
10.20,5.48,1.81,0.645,F3V
7.11,5.42,0.94,0.87,B9V
11.2,4.90,2.19,0.607,G0
6.88,8.97,1.2,0.563,F2
7.6,3.19,0.67,1.555,M0
7.12,6.92,0.78,0.92,A1V
9.38,2.8,1.36,0.463,A0V
9.29,0.5,1.42,1.357,K7
9.95,4.73,1.88,0.728,F8
8.78,2.64,1.62,0.989,
9.81,5.88,1.59,0.639,A9V
8.32,1.43,1.17,1.312,K0III
9.3,2.33,1.37,0.362,
8.77,3.22,0.90,0.346,F5
8.49,6.13,1.14,0.343,A8w
9.0,14.4,1.63,0.765,G3V
8.45,3.50,1.18,1.57,G5
8.0,8.27,0.82,0.443,F5
7.31,5.35,0.65,0.382,Fm
8.80,1.42,1.43,0.515,F2V
6.89,18.17,0.92,0.374,F2V
8.70,5.46,1.29,1.550,
6.36,7.47,0.79,0.55,B9sp
7.42,1.4,0.99,1.79,K1II+
7.70,13.15,0.94,0.523,F5V
7.74,3.38,0.61,1.13,K0
7.82,6.19,0.98,0.405,F0
9.24,2.18,0.83,1.228,K2
9.26,5.74,1.37,0.534,
8.91,6.11,1.64,0.391,A7V
7.95,7.69,1.13,0.325,A4m
9.80,2.57,3.8,0.711,G0
7.85,17.93,1.12,0.783,G5
9.49,39.4,1.29,1.200,K5
7.92,12.54,1.25,0.463,F5
8.81,9.61,1.14,0.400,G0
8.47,5.18,2.29,1.7,K0
7.68,21.17,0.84,0.576,F8V
7.29,5.16,0.90,0.16,B9
8.60,0.31,1.27,1.175,K0III
9.70,5.59,3.59,0.790,G5
9.90,3.8,0.97,0.484,F5
6.87,10.99,0.84,1.7,K0III
6.17,6.70,6.5,1.527,K5
8.18,1.36,1.14,1.543,K2
7.20,0.38,1.2,1.466,K2III
7.4,0.29,0.84,0.174,
8.49,2.29,0.78,1.487,K7
7.94,7.32,0.75,0.330,F0
8.75,4.23,1.24,0.261,A0
8.48,11.60,1.39,0.445,F5V
8.26,4.70,0.76,1.172,K1III
