Visual Apparent Magnitude,Distance,Distance Error,BV,Spectral Type
8.0,2.84,1.5,1.193,G5
9.40,10.70,1.27,0.570,G0
9.10,3.83,1.17,1.169,K1IV
2.7,33.60,0.73,0.38,B9p
8.11,2.18,0.95,0.98,A0
8.89,2.80,1.10,1.179,K1III
9.43,1.52,1.51,0.470,F2V
7.59,25.15,0.97,0.626,G2V
8.72,2.88,1.35,0.71,A0
9.86,2.30,1.46,0.157,A3III
9.23,0.65,1.34,0.988,K0III
9.50,5.59,1.50,0.493,
10.73,45.64,1.92,1.460,M0
7.59,7.60,0.89,0.508,
7.41,12.72,0.86,0.606,F8
9.26,11.1,0.95,0.675,
7.78,14.43,0.96,0.358,F5
7.76,2.77,1.26,1.618,K2
8.94,9.47,1.13,0.419,F5
8.95,2.30,1.37,0.435,F2
6.41,2.17,0.63,0.998,G3II
6.11,2.42,0.79,1.664,
7.76,8.84,0.94,0.415,F2
7.38,2.89,0.71,1.326,K3III
6.21,30.26,0.69,0.504,F8IV
7.5,5.97,1.4,0.963,G5
7.44,6.36,0.66,0.6,A0
8.50,5.7,1.56,0.406,
7.84,5.19,0.91,1.125,K0
11.1,-2.92,2.50,1.500,
7.88,5.3,0.85,0.473,F3V
9.10,3.19,0.96,1.113,K0III
8.65,6.86,1.5,0.471,F3V
8.41,16.24,0.70,0.588,G2V
7.81,8.58,0.86,0.481,F5IV
7.43,11.61,1.1,0.296,F0
8.76,0.97,1.18,0.965,G5
7.58,4.72,0.82,0.994,G5
9.55,4.78,1.13,0.473,F5V
6.82,3.19,0.76,1.568,K5
10.24,1.80,1.68,0.460,F0
6.24,7.78,0.81,0.976,K0III
7.31,1.36,1.53,1.430,K2
10.52,3.40,1.82,0.510,F5
9.27,0.25,1.21,1.146,K1III
7.13,3.16,0.96,1.640,M2III
9.14,2.60,1.43,1.53,K1III
8.48,12.89,1.3,0.537,G0
8.57,31.34,2.10,0.885,G5
7.21,7.86,1.7,1.87,K0III
